,Racket Name,Head Size (in^2),Head Size (cm^2),Strung weight (g),Strung weight (oz),Balance,Swingweight,Beam Width,Racket Colours,String Pattern,Length (in),Length (cm),Unstrung weight (g),Unstrung weight (oz),Unstrung Balance,Stiffness,Composition,Grip Type,Tension,TW Review,Overall,Groundstrokes,Volleys,Serves,Returns,Power,Control,Maneuverability,Stability,Comfort,Touch/Feel,Topspin,Slice,Strung Balance
Wilson Pro Staff RF 97 V13.0 Racket,Wilson Pro Staff RF 97 V13.0 Racket,97.0,626.0,357.0,12.6," 31,45cm / 9 pts HL", 333," 21,5mm / 21,5mm / 21,5mm ", Black,16 Mains / 19 CrossesMains skip,27.0,68.5,340.0,12.0," 30,5cm/12 pts HL", 68, Graphite braided with aramid, Wilson Leather,22-27kg / 50-60lb,True,88,85,88,88,83,86,88,78,92,80,89,78,90,
Wilson Pro Staff 97 V13.0 Racket,Wilson Pro Staff 97 V13.0 Racket,97.0,626.0,332.0,11.7, 32cm / 7 pts HL, 321," 21,5mm / 21,5mm / 21,5mm ", Black,16 Mains / 19 CrossesMains skip,27.0,68.5,315.0,11.1, 31cm/10 pts HL, 66, Graphite braided with aramid, Wilson Pro Performance,22-27kg / 50-60lb,True,85,83,84,82,83,79,87,85,83,86,86,84,85,
Wilson Pro Staff 97L V13.0 Racket,Wilson Pro Staff 97L V13.0 Racket,97.0,626.0,306.0,10.8," 33,32cm / 3 pts HL", 311," 23,5mm / 23,5mm / 23,5mm ", Black,16 Mains / 19 CrossesMains skip,27.0,68.5,290.0,10.2," 32,5cm/6 pts HL", 69, Graphite, Wilson Pro Performance,22-27kg / 50-60lb,False,,,,,,,,,,,,,,
Wilson Pro Staff Team V13.0 Racket,Wilson Pro Staff Team V13.0 Racket,100.0,645.0,298.0,10.5," 33,48cm / 3 pts HL", 290," 23,5mm / 23,5mm / 23,5mm ", Black,16 Mains / 19 CrossesMains skip,27.0,68.5,280.0,9.9," 32,5cm/6 pts HL", 70, Graphite, Wilson Synthetic,22-27kg / 50-60lb,False,,,,,,,,,,,,,,
Wilson Pro Staff 97UL V13.0 Racket,Wilson Pro Staff 97UL V13.0 Racket,97.0,626.0,283.0,10.0,"33,02cm / 4 pts HL",296,"23,5mm / 23,5mm / 23,5mm",Black,16 Mains / 19 CrossesMains skip,27.0,68.5,270.0,9.5,"32,5cm/6 pts HL",66,Graphite,Wilson Pro Performance,22-27kg / 50-60lb,False,,,,,,,,,,,,,,
Wilson Pro Staff Precision 100 Racket,Wilson Pro Staff Precision 100 Racket,100.0,645.0,321.0,11.3,,,23mm / 26mm / 21mm,,16 Mains / 19 Crosses,27.0,68.5,,,,,Graphite,,,False,,,,,,,,,,,,,,33cm / 4 pts HL
Wilson Pro Staff Precision 103 Racket,Wilson Pro Staff Precision 103 Racket,103.0,655.0,286.0,10.1,,,24mm / 24mm / 24mm,,16 Mains / 20 Crosses,27.25,69.2,,,,,Graphite,,,False,,,,,,,,,,,,,,36cm / 4 pts HH
Wilson Roland Garros Blade 98 16x19 Racket,Wilson Roland Garros Blade 98 16x19 Racket,98.0,632.0,323.0,11.4," 33,02cm / 4 pts HL", 328, 21mm / 21mm / 21mm , White/Red,16 Mains / 19 CrossesMains skip,27.0,68.5,305.0,10.8, 32cm/7 pts HL, 62, Braided Graphite & Basalt, Wilson Pro Performance,22-27kg / 50-60lb,False,,,,,,,,,,,,,,
Wilson Blade 102 SW Racket,Wilson Blade 102 SW Racket,102.0,658.0,323.0,11.4," 33,48cm / 7 pts HL", 349," 22,5mm / 22,5mm / 22,5mm ", Black/Gold,18 Mains / 19 CrossesMains skip,28.0,71.1,305.0,10.8," 32,5m/10 pts HL", 69, Countervail/Graphite, Wilson Pro Performance,22-27kg / 50-60lb,False,,,,,,,,,,,,,,
Wilson Blade 98 16x19 V7.0 Racket,Wilson Blade 98 16x19 V7.0 Racket,98.0,632.0,323.0,11.4," 33,02cm / 4 pts HL", 328, 21mm / 21mm / 21mm , Black/Green/Silver,16 Mains / 19 CrossesMains skip,27.0,68.5,305.0,10.8, 32cm/7 pts HL, 62, Braided Graphite & Basalt, Wilson Pro Performance,22-27kg / 50-60lb,True,83,81,80,83,79,77,82,78,78,86,82,82,79,
Wilson Blade 98 18x20 V7.0 Racket,Wilson Blade 98 18x20 V7.0 Racket,98.0,632.0,323.0,11.4," 33,02cm / 4 pts HL", 334, 21mm / 21mm / 21mm , Black/Green/Silver,18 Mains / 20 CrossesMains skip,27.0,68.5,305.0,10.8, 32cm/7 pts HL, 62, Braided Graphite & Basalt, Wilson Pro Performance,22-27kg / 50-60lb,True,85,86,87,81,82,79,89,79,90,86,88,80,88,
Wilson Blade 98S 18x16 V7.0 Racket,Wilson Blade 98S 18x16 V7.0 Racket,98.0,632.0,312.0,11.0,"33,48cm / 3 pts HL",320,21mm / 21mm / 21mm,Black/Green/Silver,18 Mains / 16 CrossesMains skip,27.0,68.5,295.0,10.4,"32,5cm/6 pt HL",,Braided Graphite & Basalt,Wilson Sublime,22-27kg / 50-60lb,False,,,,,,,,,,,,,,
